unit	cone	cross	a	b	c
O1	34	G	4.232476768	24.99290292	3.211697008
O1	35	A	4.017670918	20.66736548	2.871193235
O1	36	A	4.022519736	21.268261	1.743423638
O1	37	G	4.137863973	22.30564408	3.949376033
O1	38	G	3.934004489	20.82489675	3.172779738
O1	39	A	4.137863973	22.30564408	3.949376033
O1	40	G	3.695218352	20.30041872	2.962864912
O1	41	G	4.017670918	20.66736548	2.871193235
O1	42	G	3.977943477	21.00033118	2.434489431
O1	43	A	4.010212771	24.24104118	1.210750179
O1	44	A	3.89889147	23.00578202	3.2160973
O1	45	A	4.017670918	20.66736548	2.871193235
O1	46	A	4.042114502	21.4335369	2.650359407
O1	47	G	3.695218352	20.30041872	2.962864912
O1	48	G	4.105839859	23.03746783	1.873950291
O1	49	A	4.062785719	23.85042336	1.778596246
O1	50	A	3.732187568	17.0469722	1.921783145
O1	51	A	4.017670918	20.66736548	2.871193235
O1	52	G	4.137863973	22.30564408	3.949376033
O1	53	G	3.966993655	22.14742102	4.090075191
O1	54	G	4.077818247	23.16576561	3.100160369
O1	55	A	3.977943477	21.00033118	2.434489431
O1	56	A	4.017670918	20.66736548	2.871193235
O1	57	G	4.017670918	20.66736548	2.871193235
O1	58	A	4.021308996	25.00329911	0.881429143
O1	59	A	4.09105182	23.90461041	2.762731939
O1	60	A	4.017670918	20.66736548	2.871193235
O1	61	A	4.022519736	21.268261	1.743423638
O1	62	G	4.017670918	20.66736548	2.871193235
O1	63	G	3.934004489	20.82489675	3.172779738
O1	64	A	3.828846064	19.18813569	2.00625591
O1	65	A	4.017670918	20.66736548	2.871193235
O1	66	G	4.017670918	20.66736548	2.871193235
O1	67	G	4.022519736	21.268261	1.743423638
O1	68	G	4.077818247	23.16576561	3.100160369
O1	69	G	4.11219332	23.53166364	2.295207673
O1	70	G	4.09105182	23.90461041	2.762731939
O1	71	A	4.042114502	21.4335369	2.650359407
O1	72	A	3.934004489	20.82489675	3.172779738
O1	73	G	4.11219332	23.53166364	2.295207673
O1	74	A	4.11219332	23.53166364	2.295207673
O1	75	G	3.911886465	28.47420607	2.098087984
O1	76	G	3.359701804	26.75786482	1.792374355
